FACULTAD DE TELEMÁTICA,,,,,,,,,,,
HORARIOS SEMESTRE ENERO 2014 - JULIO 2014,,,,,,,,,,,
GPO,UNIDAD DE APRENDIZAJE,HCA,PROFESOR/A,L,M,Mi,J,V,LUGAR,,
4G,METODOS NUMERICOS,4,MORENO OSEGUEDA RAYMUNDO,6/7,,3/4,,,Auditorio 4,,
4G,SISTEMAS EMBEBIDOS,4,PUENTE MEDINA JOSÉ MARCOS,,,1/2,,,L Arquitectura,,
4G,SISTEMAS EMBEBIDOS,4,PUENTE MEDINA JOSÉ MARCOS,8/9,,,,,L D Software,,
4G,PROGRAMACION VISUAL,4,RAMÍREZ GONZÁLEZ HUMBERTO,,1/2,,,1/2,L D Software,,
4G,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,4,VALADEZ MENESES RAFAEL,1/2,,,1/2,,L Redes,,
4H,ECUACIONES DIFERENCIALES,4,ANDRADE CASTILLO MARTHA ELBA,,,3/4,,,Auditorio 1,,
4H,METODOS NUMERICOS,4,MORENO OSEGUEDA RAYMUNDO,,,,,3/4,Auditorio 1,,
4H,METODOS NUMERICOS,4,MORENO OSEGUEDA RAYMUNDO,,,5/6,,,Auditorio 4,,
4H,INGLÉS,3,MAESTRO YY,,,,1/2,,Auditorio 4,,
4H,SISTEMAS EMBEBIDOS,4,PUENTE MEDINA JOSÉ MARCOS,1/2,,,,,L Arquitectura,,
4H,ECUACIONES DIFERENCIALES,4,ANDRADE CASTILLO MARTHA ELBA,3,,,5,,L C Básicas,,
4H,PROGRAMACION VISUAL,4,RAMÍREZ GONZÁLEZ HUMBERTO,,,,3/4,,L C Básicas,,
4H,SISTEMAS EMBEBIDOS,4,PUENTE MEDINA JOSÉ MARCOS,,,,8/9,,L IH-C,,
4H,PROGRAMACION VISUAL,4,RAMÍREZ GONZÁLEZ HUMBERTO,,3/4,,,,L IH-C,,
4H,INGLÉS,3,MAESTRO YY,,2,,,,L Redes,,
4H,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,4,VALADEZ MENESES RAFAEL,,,1/2,,1/2,L Redes,,
4J,METODOS ESTADISTICOS,4,SÁNCHEZ GONZÁLEZ LIBIA,,4/5,,,,Auditorio 1,,
4J,INGLÉS,3,RAMÍREZ SÁNCHEZ CLAUDIA,,6/7,,,,Auditorio 2,,
4J,METODOS ESTADISTICOS,4,SÁNCHEZ GONZÁLEZ LIBIA,,,,4,,Auditorio 2,,
4J,ÉTICA Y COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES,2,VÁZQUEZ GODINA AARON,,,,,5/6,Auditorio 2,,
4J,EVALUACIÓN DE PROYECTOS,3,CONTRERAS CASTILLO JUAN JOSÉ,,1/2,,,,Auditorio 3,,
4J,EVALUACIÓN DE PROYECTOS,3,CONTRERAS CASTILLO JUAN JOSÉ,,,,1,,Auditorio 3,,
4J,SISTEMAS EMBEBIDOS,3,MAESTRO XX,,,3,,,L Arquitectura,,
4J,METODOS ESTADISTICOS,4,SÁNCHEZ GONZÁLEZ LIBIA,5,,,,,L C Básicas,,
4J,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,3,AMEZCUA VALDOVINOS ISMAEL,,,4/5,,,L D Software,,
4J,ESTRUCTURA DE DATOS,3,RAMÍREZ GONZÁLEZ HUMBERTO,,,6/7,,,L D Software,,
4J,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,3,AMEZCUA VALDOVINOS ISMAEL,4,,,,,L Cómp Móv,,
4J,SISTEMAS EMBEBIDOS,3,MAESTRO XX,2,,,2,,L Cómp Móv,,
4J,ESTRUCTURA DE DATOS,3,RAMÍREZ GONZÁLEZ HUMBERTO,6,,,,,L IH-C,,
4J,INGLÉS,3,RAMÍREZ SÁNCHEZ CLAUDIA,,,,,4,L IH-C,,
4K,ÉTICA Y COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES,2,VÁZQUEZ GODINA AARON,,3/4,,,,Auditorio 4,,
4K,METODOS ESTADISTICOS,4,SÁNCHEZ GONZÁLEZ LIBIA,,6/7,,,,Auditorio 4,,
4K,METODOS ESTADISTICOS,4,SÁNCHEZ GONZÁLEZ LIBIA,,,5,7,,L IH-C,,
4K,INGLÉS,3,MAESTRO YY,,5,,4/5,,L MM,,
4K,EVALUACIÓN DE PROYECTOS,3,CONTRERAS CASTILLO JUAN JOSÉ,,,3/4,2,,L MM,,
4K,SISTEMAS EMBEBIDOS,3,MAESTRO XX,4/5,,,,,L Arquitectura,,
4K,SISTEMAS EMBEBIDOS,3,MAESTRO XX,,,,3,,L Cómp Móv,,
4K,ESTRUCTURA DE DATOS,3,RAMÍREZ GONZÁLEZ HUMBERTO,7/8,,2,,,L C Básicas,,
4K,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,3,RAMÍREZ ALCARAZ JUAN MANUEL,,,7,,,L Redes,,
4K,SISTEMAS OPERATIVOS Y SERVICIOS DE INTERNET,3,RAMÍREZ ALCARAZ JUAN MANUEL,2/3,,,,,L IH-C,,
6A,COMUNICACIONES ÓPTICAS,4,MOCTEZUMA HERNÁNDEZ JOSÉ,,1/2,,1/2,,Auditorio 2,,
6A,INGLÉS,3,RAMOS MADRIGAL ABEL,,,5,,,Auditorio 3,,
6A,INGLÉS,3,RAMOS MADRIGAL ABEL,,,,,7/8,Auditorio 4,,
6A,SEMINARIO DE INVESTIGACIÓN I,3,SANDOVAL CARRILLO SARA,3/4,,,,,Auditorio 4,,
6A,DIRECCIÓN DE PROYECTOS,3,CARRILLO HIDALGO JOAQUÍN,,,,5,,D Comp Lab,,
6A,DIRECCIÓN DE PROYECTOS,3,CARRILLO HIDALGO JOAQUÍN,,5/6,,,,D Comp Lab,,
6A,COMUNICACIONES MÓVILES Y SATELITALES,4,AQUINO SANTOS RAÚL TEODORO,,3/4,,3/4,,L Arquitectura,,
